IG107-P1	 -1.78525  -0.96621  -4.01115   2.25657   13.8237 -0.330569 -0.358865   1.18308  -1.16235  -22.4093 -0.699096  0.131691  -1.94752 -0.323631  -0.35353   -0.4923 -0.817578  -1.06781  0.544996  -0.40782
IG108-P1	  -1.63588  -0.609726   -4.20862    2.67757    13.1976  -0.268681   0.141493    1.23101   -0.95845   -21.3919  -0.771166   0.238589   -2.03832  -0.297078  -0.472103  -0.722433  -0.642497 -0.0577318   0.488382  -0.235169
IG109-P1	-78.9014 -24.4169  -95.193   55.375  119.196 -3.13491 -2.05899  13.6733 -7.01246 -104.223 -4.25097  7.88432  15.3168  11.8921 -3.51857 -1.42603  8.36077  5.30299 -7.03191 -11.2122
IG110-P1	 -78.1262  -29.5784   -109.34   52.4922   121.331  -14.3603 -0.770768   14.2246  -6.92114  -105.146  -2.01955   7.15762  0.814717  -11.5343   5.71349   6.09055   -16.179  -4.46149   5.70187   9.29855
IG111-P1	-37.5939  -11.121 -63.9804  35.3989  82.3239 -5.95801 0.375707  4.34993 -5.24339 -81.3453 -2.12512  4.30446 -4.99025  8.34521 -2.23803 -3.68797  4.28385 -2.28806  1.24974 -7.50936
IG112-P1	  -45.839  -3.61434  -76.1089   45.7555   83.1988   3.75149   3.76963   6.70601 -0.924165  -92.9002  -2.80791  -4.50493  -9.49007  -1.60422  -2.50119   4.62126  0.439514    1.6464  -4.19092 -0.143234
IG113-P1	 -53.679   24.815 -111.681   77.778  79.7061 -8.19986 -2.47719  4.69047 -5.55115 -90.5286 -1.25808 -11.6558 -14.6904 -12.9684 0.266839  8.54986 0.249854  5.83656  1.70413  7.38437
IG114-P1	  -37.7039   -15.4942    -60.915     31.646     73.451   -17.9966    3.23982     2.8067   -10.7321   -80.1894   -2.49636   -7.96698 -0.0680922    5.05361   -1.52633    1.85538   -2.94045   -2.97837    3.65947   -6.91265
IG115-P1	-50.7908 -45.3326 -64.5434  22.8564  119.869  2.48119 -3.35924  15.9036 -4.22845 -108.364 -5.17863  16.5145  -5.9574  4.69338 -3.79106 -13.3196  2.82016 -16.0505  6.05569 -7.18243
IG116-P1	-41.1424 -18.3086 -81.7577  46.4874   112.08  -5.2531 0.520251  10.2679 -8.08939 -110.805   -6.772  6.56431 0.236757 -9.19852 -2.37878 -3.32381  4.02197 -3.18075 -1.37967 0.816208
IG117-P1	 -33.1054  -26.8176  -76.3859   35.9858   107.183  -6.90161 -0.781065    8.8647  -12.3282   -99.646  -2.13191  -5.39744  -12.1369  -15.1912  -3.50903  -8.38654   -3.6054  -3.78443  0.987723   11.8091
IG118-P1	-61.0232 -13.6791 -92.9577  55.1576  132.483  -3.5562  1.46367  9.60706 -5.09226 -118.059 -8.71088  9.39888 -6.78158   12.246 -1.44366 -12.3564 -6.20512   -7.086  5.89019 0.377813
IG119-P1	 -53.7753  -24.8405  -79.7901    40.861   116.549 -0.133862   2.72942   9.23321  -6.94758  -96.6397  -7.96476   10.4324  -6.95054   5.28871 -0.794302  -17.0686 0.0761099 -0.649439 -0.110127  -2.41688
